USER           PID  PPID        VSZ    RSS WCHAN            ADDR S NAME                       
root             1     0   10953428   1052 0                   0 S init
root             2     0          0      0 0                   0 S [kthreadd]
root             3     2          0      0 0                   0 S [pool_workqueue_release]
root             4     2          0      0 0                   0 I [kworker/R-kvfree_rcu_reclaim]
root             5     2          0      0 0                   0 I [kworker/R-rcu_gp]
root             6     2          0      0 0                   0 I [kworker/R-sync_wq]
root             7     2          0      0 0                   0 I [kworker/R-slub_flushwq]
root             8     2          0      0 0                   0 I [kworker/R-netns]
root            10     2          0      0 0                   0 I [kworker/0:1-virtio_vsock]
root            12     2          0      0 0                   0 I [kworker/u16:0-events_unbound]
root            13     2          0      0 0                   0 I [kworker/u16:1-ipv6_addrconf]
root            14     2          0      0 0                   0 I [kworker/R-mm_percpu_wq]
root            15     2          0      0 0                   0 I [rcu_tasks_kthread]
root            16     2          0      0 0                   0 I [rcu_tasks_trace_kthread]
root            17     2          0      0 0                   0 S [ksoftirqd/0]
root            18     2          0      0 0                   0 I [rcu_preempt]
root            19     2          0      0 0                   0 S [rcuog/0]
root            20     2          0      0 0                   0 S [rcuop/0]
root            21     2          0      0 0                   0 S [rcub/0]
root            22     2          0      0 0                   0 S [rcu_exp_par_gp_kthread_worker/0]
root            23     2          0      0 0                   0 S [rcu_exp_gp_kthread_worker]
root            24     2          0      0 0                   0 S [migration/0]
root            25     2          0      0 0                   0 S [idle_inject/0]
root            26     2          0      0 0                   0 S [cpuhp/0]
root            27     2          0      0 0                   0 S [cpuhp/1]
root            28     2          0      0 0                   0 S [idle_inject/1]
root            29     2          0      0 0                   0 S [migration/1]
root            30     2          0      0 0                   0 S [ksoftirqd/1]
root            33     2          0      0 0                   0 S [rcuop/1]
root            34     2          0      0 0                   0 S [cpuhp/2]
root            35     2          0      0 0                   0 S [idle_inject/2]
root            36     2          0      0 0                   0 S [migration/2]
root            37     2          0      0 0                   0 S [ksoftirqd/2]
root            40     2          0      0 0                   0 S [rcuog/2]
root            41     2          0      0 0                   0 S [rcuop/2]
root            42     2          0      0 0                   0 S [cpuhp/3]
root            43     2          0      0 0                   0 S [idle_inject/3]
root            44     2          0      0 0                   0 S [migration/3]
root            45     2          0      0 0                   0 S [ksoftirqd/3]
root            48     2          0      0 0                   0 S [rcuop/3]
root            50     2          0      0 0                   0 I [kworker/u18:0-events_unbound]
root            52     2          0      0 0                   0 I [kworker/u20:0-events_unbound]
root            53     2          0      0 0                   0 I [kworker/R-inet_frag_wq]
root            54     2          0      0 0                   0 S [kauditd]
root            55     2          0      0 0                   0 S [khungtaskd]
root            56     2          0      0 0                   0 S [oom_reaper]
root            57     2          0      0 0                   0 I [kworker/u18:1-events_unbound]
root            58     2          0      0 0                   0 I [kworker/R-writeback]
root            59     2          0      0 0                   0 S [kcompactd0]
root            60     2          0      0 0                   0 S [khugepaged]
root            61     2          0      0 0                   0 I [kworker/R-cryptd]
root            62     2          0      0 0                   0 I [kworker/R-kblockd]
root            63     2          0      0 0                   0 S [irq/9-acpi]
root            65     2          0      0 0                   0 I [kworker/R-edac-poller]
root            66     2          0      0 0                   0 I [kworker/R-devfreq_wq]
root            67     2          0      0 0                   0 S [watchdogd]
root            70     2          0      0 0                   0 I [kworker/R-quota_events_unbound]
root            73     2          0      0 0                   0 S [kswapd0]
